#Number,Rarity Rank,Rarity Percent
4003,352,0.00000001064518762800%
1844,353,0.00000001065452014928%
4625,354,0.00000001065839128713%
4584,355,0.00000001066262999361%
3877,356,0.00000001066937279173%
4501,357,0.00000001069511025623%
2535,358,0.00000001070704676321%
4383,359,0.00000001073338560823%
3708,360,0.00000001076174015884%
4537,361,0.00000001076534763651%
4318,362,0.00000001076612232433%
3939,363,0.00000001078548666624%
3705,364,0.00000001079588709361%
97,365,0.00000001083385006955%
461,366,0.00000001084376740373%
4668,367,0.00000001097790335824%
3587,368,0.00000001101346407730%
3998,369,0.00000001103022734074%
4692,370,0.00000001105412945766%
4562,371,0.00000001108792113285%
4285,372,0.00000001113815510286%
4673,373,0.00000001120286951866%
2109,374,0.00000001120920052353%
2610,375,0.00000001121373113403%
4100,376,0.00000001121757635230%
4326,377,0.00000001121851329829%
845,378,0.00000001122778913440%
1030,379,0.00000001134240169329%
4696,380,0.00000001136010893107%
4603,381,0.00000001146497399461%
3704,382,0.00000001148306276185%
499,383,0.00000001155060850493%
167,384,0.00000001157032007767%
4263,385,0.00000001162220170140%
3669,386,0.00000001165092774425%
1710,387,0.00000001172003143635%
3695,388,0.00000001174319283424%
4114,389,0.00000001178462914118%
4522,390,0.00000001180819533145%
161,391,0.00000001181134709551%
4246,392,0.00000001186898594180%
4479,393,0.00000001189864521990%
4046,394,0.00000001193466841054%
1351,395,0.00000001193711056571%
4276,396,0.00000001194153288008%
2165,397,0.00000001194164843277%
3697,398,0.00000001194474885627%
3920,399,0.00000001196225099647%
4144,400,0.00000001200675467221%
3532,401,0.00000001206610334392%
4067,402,0.00000001214999165141%
4450,403,0.00000001224762604218%
4447,404,0.00000001233865611805%
633,405,0.00000001239699089621%
4376,406,0.00000001240940486347%
2086,407,0.00000001241976499366%
4550,408,0.00000001253107620053%
4500,409,0.00000001254903852257%
4526,410,0.00000001257409641185%
2314,411,0.00000001259817583511%
4229,412,0.00000001261428892289%
844,413,0.00000001262557419182%
3707,414,0.00000001265616766403%
4053,415,0.00000001273128262737%
4420,416,0.00000001276865204060%
4221,417,0.00000001279986790104%
2353,418,0.00000001280636538621%
1723,419,0.00000001288134688815%
2692,420,0.00000001291327417929%
3599,421,0.00000001296859750737%
1995,422,0.00000001298926892787%
1745,423,0.00000001306183923136%
251,424,0.00000001314048010125%
3924,425,0.00000001321837157391%
4017,426,0.00000001325387924439%
4444,427,0.00000001327764844708%
2167,428,0.00000001340492853866%
3668,429,0.00000001347408065642%
4038,430,0.00000001359947839898%
4527,431,0.00000001365359590284%
3716,432,0.00000001377419056865%
103,433,0.00000001377772241239%
4606,434,0.00000001377869178470%
2594,435,0.00000001384933222633%
3857,436,0.00000001385560827003%
2473,437,0.00000001387931092068%
4145,438,0.00000001392255985464%
2055,439,0.00000001412945930900%
2445,440,0.00000001414818915434%
4605,441,0.00000001419224154636%
2672,442,0.00000001423684239944%
1594,443,0.00000001424268265823%
4298,444,0.00000001425438733622%
1770,445,0.00000001435235547768%
2,446,0.00000001435627098335%
1998,447,0.00000001444731843355%
1151,448,0.00000001457332558410%
675,449,0.00000001457409608878%
4595,450,0.00000001464676372685%
1337,451,0.00000001467290005166%
1405,452,0.00000001469101678658%
2134,453,0.00000001470035201564%
1850,454,0.00000001475684561388%
1291,455,0.00000001477503457690%
4547,456,0.00000001479496266007%
4417,457,0.00000001479949044771%
4622,458,0.00000001492671187314%
3751,459,0.00000001530001248653%
1264,460,0.00000001531560172113%
883,461,0.00000001531580410710%
1825,462,0.00000001533722014849%
432,463,0.00000001534530087868%
4167,464,0.00000001536109643532%
2291,465,0.00000001549747220506%
4171,466,0.00000001563729636041%
1759,467,0.00000001564498217914%
4126,468,0.00000001565318640225%
1120,469,0.00000001567576273794%
239,470,0.00000001581427820383%
4313,471,0.00000001585569232558%
4163,472,0.00000001586139214766%
2472,473,0.00000001587130326083%
1175,474,0.00000001587433894675%
4586,475,0.00000001601312120635%
895,476,0.00000001626219659487%
108,477,0.00000001628135563592%
1172,478,0.00000001630562977435%
2169,479,0.00000001631631878173%
4535,480,0.00000001636145172258%
80,481,0.00000001637680719004%
3535,482,0.00000001649892116201%
1409,483,0.00000001653114747566%
3520,484,0.00000001662210315259%
3975,485,0.00000001667846291866%
519,486,0.00000001669467907876%
3894,487,0.00000001680938070057%
3942,488,0.00000001683458485125%
3632,489,0.00000001683835519500%
815,490,0.00000001686654643080%
3702,491,0.00000001691751179472%
4525,492,0.00000001694688973148%
1601,493,0.00000001710030019535%
3934,494,0.00000001715992427889%
3957,495,0.00000001717810129594%
2481,496,0.00000001721026134040%
3737,497,0.00000001721279787306%
442,498,0.00000001721600691487%
3854,499,0.00000001722312908440%
3908,500,0.00000001724773496506%
29,501,0.00000001728116324453%
4487,502,0.00000001731650253108%
75,503,0.00000001743637193961%
4305,504,0.00000001744439082379%
1102,505,0.00000001747504622223%
2228,506,0.00000001757808485676%
4293,507,0.00000001758451137823%
1796,508,0.00000001759102718762%
2212,509,0.00000001765186807228%
2778,510,0.00000001771261950793%
4152,511,0.00000001771342110870%
1383,512,0.00000001772878225637%
1964,513,0.00000001779140853135%
4281,514,0.00000001781487422669%
3838,515,0.00000001783822973888%
3855,516,0.00000001790446702009%
2421,517,0.00000001791015364841%
4699,518,0.00000001797903080437%
1075,519,0.00000001798176357486%
694,520,0.00000001804103962214%
607,521,0.00000001804992676236%
2496,522,0.00000001807541087109%
1985,523,0.00000001808793200688%
4104,524,0.00000001817128953446%
3743,525,0.00000001817439417690%
1805,526,0.00000001818828665326%
3862,527,0.00000001825857843474%
1298,528,0.00000001831990928689%
493,529,0.00000001836745825238%
588,530,0.00000001836889374756%
2172,531,0.00000001845886569247%
1257,532,0.00000001846830720025%
4351,533,0.00000001851856175864%
2369,534,0.00000001854919557150%
1201,535,0.00000001862532673730%
211,536,0.00000001863320151813%
305,537,0.00000001863767070099%
3806,538,0.00000001865266031808%
1939,539,0.00000001866907662428%
2458,540,0.00000001869643808069%
3748,541,0.00000001872581624757%
4255,542,0.00000001873762351718%
1842,543,0.00000001874164533992%
4503,544,0.00000001876323740535%
4254,545,0.00000001877263030976%
596,546,0.00000001880477696615%
4299,547,0.00000001881377783341%
3735,548,0.00000001885896537873%
4599,549,0.00000001888191096422%
3871,550,0.00000001893226272680%
4508,551,0.00000001894945902900%
4495,552,0.00000001896454917938%
2342,553,0.00000001897213549271%
2264,554,0.00000001905255782932%
900,555,0.00000001924025955503%
4544,556,0.00000001939610586102%
3842,557,0.00000001944204907253%
2732,558,0.00000001944260231823%
3557,559,0.00000001946282290374%
4273,560,0.00000001948409082741%
1293,561,0.00000001963736413766%
397,562,0.00000001972553817353%
4440,563,0.00000001973273868478%
2463,564,0.00000001988003877854%
2251,565,0.00000001992375501379%
1755,566,0.00000001993136530982%
4691,567,0.00000001997640972214%
3548,568,0.00000002005126727316%
4592,569,0.00000002011991361873%
3627,570,0.00000002013590962255%
57,571,0.00000002017467200221%
2340,572,0.00000002019747447580%
2356,573,0.00000002020544300895%
1403,574,0.00000002021701775122%
4536,575,0.00000002024914653755%
1202,576,0.00000002027280550212%
3562,577,0.00000002030508808864%
3740,578,0.00000002033505262559%
1393,579,0.00000002041971899796%
804,580,0.00000002051450810126%
4510,581,0.00000002051954602672%
2234,582,0.00000002052415036879%
784,583,0.00000002057670165197%
4143,584,0.00000002061709863926%
3822,585,0.00000002069582992469%
1501,586,0.00000002075901610554%
1232,587,0.00000002077056244576%
147,588,0.00000002077333532679%
1488,589,0.00000002078009393184%
4576,590,0.00000002081965547870%
2024,591,0.00000002088868231722%
720,592,0.00000002095273786637%
150,593,0.00000002098823568501%
620,594,0.00000002101561288186%
355,595,0.00000002101576869850%
2605,596,0.00000002105843578528%
950,597,0.00000002106234084334%
3808,598,0.00000002113364567458%
3582,599,0.00000002113995174940%
998,600,0.00000002116220685694%
402,601,0.00000002117848213578%
124,602,0.00000002125894971084%
2153,603,0.00000002127483974373%
1628,604,0.00000002128453306417%
2641,605,0.00000002132862016457%
1014,606,0.00000002134924515317%
4408,607,0.00000002136271338787%
3555,608,0.00000002139693643727%
3810,609,0.00000002148471475274%
2404,610,0.00000002151484152166%
4472,611,0.00000002151789377775%
201,612,0.00000002155024150456%
4342,613,0.00000002159309740769%
1973,614,0.00000002159816796372%
3761,615,0.00000002160308783677%
2315,616,0.00000002180704365207%
1595,617,0.00000002181137865629%
2583,618,0.00000002182877136892%
2135,619,0.00000002185548388723%
3678,620,0.00000002189495488752%
4257,621,0.00000002189711464470%
354,622,0.00000002190170333453%
325,623,0.00000002203465367732%
2534,624,0.00000002205388229238%
1425,625,0.00000002206656274268%
4308,626,0.00000002206936840864%
716,627,0.00000002208136263060%
1098,628,0.00000002211289673269%
1214,629,0.00000002214101230387%
4248,630,0.00000002216002050662%
910,631,0.00000002220277982691%
511,632,0.00000002228371779554%
549,633,0.00000002228508803727%
1877,634,0.00000002239027777441%
2214,635,0.00000002239431309773%
4234,636,0.00000002241447268516%
3651,637,0.00000002243136283103%
4231,638,0.00000002249088596705%
4192,639,0.00000002252309098660%
171,640,0.00000002262261370194%
1362,641,0.00000002262963739394%
4481,642,0.00000002267595283599%
949,643,0.00000002268766856247%
4169,644,0.00000002269410430422%
4079,645,0.00000002270406265409%
4411,646,0.00000002276778765381%
3951,647,0.00000002276938385958%
4482,648,0.00000002285198352138%
2529,649,0.00000002285850667747%
4656,650,0.00000002293486112637%
3534,651,0.00000002295364714486%
3941,652,0.00000002295458105514%
2729,653,0.00000002305880998056%
514,654,0.00000002309579815391%
230,655,0.00000002311340614134%
3636,656,0.00000002326940365382%
2440,657,0.00000002333112278188%
613,658,0.00000002333691821261%
4209,659,0.00000002340919540777%
1682,660,0.00000002343998464030%
2793,661,0.00000002351190487361%
3667,662,0.00000002353386381219%
4069,663,0.00000002353930333388%
1860,664,0.00000002355125689301%
2664,665,0.00000002356214010163%
4141,666,0.00000002362591653396%
2018,667,0.00000002365912888087%
4629,668,0.00000002368580203782%
1222,669,0.00000002370485810627%
4324,670,0.00000002375501306720%
1127,671,0.00000002380785918463%
1247,672,0.00000002381333142989%
3847,673,0.00000002385671210669%
1109,674,0.00000002389681062378%
4633,675,0.00000002391229328818%
4084,676,0.00000002391546715177%
874,677,0.00000002392585492746%
1919,678,0.00000002394484209692%
2359,679,0.00000002395950013670%
893,680,0.00000002397687124073%
434,681,0.00000002404952560835%
476,682,0.00000002405790757630%
1015,683,0.00000002408625362130%
482,684,0.00000002416977487410%
2754,685,0.00000002418306682779%
3588,686,0.00000002418352538342%
3529,687,0.00000002422031122642%
4267,688,0.00000002425081069317%
4244,689,0.00000002434054616315%
2666,690,0.00000002436931749431%
47,691,0.00000002437679227444%
489,692,0.00000002440273989796%
4397,693,0.00000002444247958344%
1880,694,0.00000002444285733120%
1896,695,0.00000002445931634066%
254,696,0.00000002448268462471%
1004,697,0.00000002453027640659%
3979,698,0.00000002455427678817%
1848,699,0.00000002458887091942%
1028,700,0.00000002460882041750%
1046,701,0.00000002461661706564%
134,702,0.00000002465408142017%
4514,703,0.00000002466501934449%
117,704,0.00000002467665247196%
1631,705,0.00000002471561767674%
142,706,0.00000002473134410715%
3952,707,0.00000002481725335555%
504,708,0.00000002484888644144%
262,709,0.00000002486974999206%
13,710,0.00000002491802788147%
4523,711,0.00000002493846745252%
2708,712,0.00000002494082391736%
2446,713,0.00000002494825162956%
4204,714,0.00000002497098214161%
1957,715,0.00000002500273373089%
2563,716,0.00000002513974261134%
4332,717,0.00000002514052050555%
369,718,0.00000002522183873603%
3927,719,0.00000002523850838906%
3511,720,0.00000002530078934068%
892,721,0.00000002533143889399%
4587,722,0.00000002536637868611%
197,723,0.00000002536694824182%
344,724,0.00000002539860007510%
1538,725,0.00000002543857998653%
704,726,0.00000002544280795391%
249,727,0.00000002544738531017%
1935,728,0.00000002544883854020%
2231,729,0.00000002545581992015%
646,730,0.00000002548296846628%
919,731,0.00000002548401441859%
2246,732,0.00000002548664303262%
1791,733,0.00000002549650680555%
139,734,0.00000002560176812261%
243,735,0.00000002564104937903%
3516,736,0.00000002572395082482%
1937,737,0.00000002575851145903%
343,738,0.00000002576362025359%
4564,739,0.00000002580192215800%
2459,740,0.00000002580573089019%
803,741,0.00000002581085252309%
3936,742,0.00000002582787069435%
2126,743,0.00000002583404892405%
341,744,0.00000002585917720428%
36,745,0.00000002586150813692%
1442,746,0.00000002586497051787%
3604,747,0.00000002586948657689%
4121,748,0.00000002591199835587%
2405,749,0.00000002593951605208%
114,750,0.00000002594266123077%
2700,751,0.00000002596930299888%
3719,752,0.00000002598911792264%
4505,753,0.00000002599077628477%
3774,754,0.00000002604947189662%
624,755,0.00000002610330317667%
144,756,0.00000002610349768858%
992,757,0.00000002610992793805%
116,758,0.00000002611499166803%
1934,759,0.00000002615786437018%
969,760,0.00000002618505043794%
1188,761,0.00000002619062866658%
1157,762,0.00000002619558953135%
4089,763,0.00000002620821999882%
1568,764,0.00000002628636534374%
3609,765,0.00000002629980455731%
598,766,0.00000002634267822598%
213,767,0.00000002636140107556%
127,768,0.00000002637445903199%
1097,769,0.00000002637449229635%
1715,770,0.00000002637478556576%
1012,771,0.00000002639828591770%
2382,772,0.00000002641208200682%
4688,773,0.00000002641751347419%
3647,774,0.00000002648630126039%
916,775,0.00000002649821912737%
3552,776,0.00000002652993544126%
2127,777,0.00000002656890547864%
4010,778,0.00000002658483757427%
3861,779,0.00000002670339173484%
1576,780,0.00000002672457943745%
2747,781,0.00000002679326072248%
4239,782,0.00000002682337054409%
4694,783,0.00000002689736722219%
4659,784,0.00000002690237378949%
988,785,0.00000002692996596774%
455,786,0.00000002700773016674%
2035,787,0.00000002702554366406%
2289,788,0.00000002704255594800%
1304,789,0.00000002705838401054%
3946,790,0.00000002706240168530%
4235,791,0.00000002706249888947%
2028,792,0.00000002709193518556%
603,793,0.00000002710786224149%
374,794,0.00000002714482073082%
3793,795,0.00000002714506113319%
3973,796,0.00000002714797449695%
4319,797,0.00000002715412605661%
789,798,0.00000002717362148711%
4594,799,0.00000002717728676797%
1027,800,0.00000002721004196043%
1031,801,0.00000002721549977950%
1799,802,0.00000002722211421984%
1923,803,0.00000002724049795940%
4517,804,0.00000002727549146235%
1692,805,0.00000002727710681440%
1603,806,0.00000002728094167903%
4597,807,0.00000002729101379237%
3696,808,0.00000002730092747526%
3932,809,0.00000002730803608284%
3897,810,0.00000002737529898143%
1518,811,0.00000002738124097495%
4081,812,0.00000002740659896832%
3987,813,0.00000002744799780603%
1070,814,0.00000002745301113896%
736,815,0.00000002748639506596%
4256,816,0.00000002752428960827%
4609,817,0.00000002752620753951%
2420,818,0.00000002755738356941%
187,819,0.00000002756064432764%
872,820,0.00000002762418382479%
4355,821,0.00000002765282039562%
3605,822,0.00000002769924888969%
4379,823,0.00000002770740580963%
828,824,0.00000002771192624099%
1648,825,0.00000002774904370732%
2570,826,0.00000002786519678976%
4574,827,0.00000002789721882275%
3625,828,0.00000002790545110047%
647,829,0.00000002790666020013%
4665,830,0.00000002792952828002%
1507,831,0.00000002794185438612%
809,832,0.00000002795816381530%
1467,833,0.00000002799444168619%
4551,834,0.00000002799514408965%
4274,835,0.00000002804652712776%
1736,836,0.00000002808778491510%
4315,837,0.00000002813795759555%
4399,838,0.00000002814738736702%
2203,839,0.00000002814807394055%
839,840,0.00000002814977018101%
4048,841,0.00000002815480263721%
2717,842,0.00000002816727331841%
2629,843,0.00000002820155605035%
1756,844,0.00000002820265518932%
3989,845,0.00000002820424495163%
2624,846,0.00000002822820958544%
2093,847,0.00000002822892082053%
1669,848,0.00000002823201368064%
2537,849,0.00000002824145353153%
3792,850,0.00000002824882374353%
2185,851,0.00000002825883245976%
4065,852,0.00000002826248204428%
4292,853,0.00000002826564853432%
2357,854,0.00000002827228989911%
4137,855,0.00000002829837969294%
4593,856,0.00000002831141013043%
3617,857,0.00000002831457582463%
4322,858,0.00000002833418023907%
899,859,0.00000002834003181994%
4033,860,0.00000002834713508866%
1072,861,0.00000002837506524356%
648,862,0.00000002838274693350%
4316,863,0.00000002843860323533%
88,864,0.00000002851640706736%
2436,865,0.00000002857605220912%
3809,866,0.00000002861046101422%
636,867,0.00000002861959544517%
1352,868,0.00000002861961236948%
2766,869,0.00000002862309479547%
4690,870,0.00000002863379323791%
4278,871,0.00000002869753551992%
2108,872,0.00000002870920913379%
745,873,0.00000002871147450040%
133,874,0.00000002872898703835%
4340,875,0.00000002874133041906%
371,876,0.00000002877013682104%
